name,location,joinedGroupOn,lastVisitedGroupOn,lastAttended,totalRSVPs,RSVPedYes,RSVPedMaybe,RSVPedNo,meetupsAttended,noShows,intro,photo,assistantOrganizer,mailingList,whatIsYourOccupationTradeProfession,whatAreYourHobbiesInterests
Member226,London,"September 15, 2019","July 18, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,housing consultant,
Member227,Greater London,"June 4, 2021","June 4, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Compliance Consultant,"Cooling, eating & riding bikes"
Member228,London,"May 30, 2019","May 30, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Data Analyst,
Member229,London,"June 5, 2018","June 5, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Banker,
Member230,Greater London,"June 23, 2018","July 14, 2019","August 2, 2018",2,1,0,1,1,0,No,No,No,Yes,Admin and clinical,
Member231,London,"January 3, 2021","January 3, 2021",,0,0,0,0,0,0,No,No,No,Yes,Translator,Travel
Member232,London,"September 23, 2019","September 22, 2019",,0,0,0,0,0,0,No,No,No,Yes,dr,
Member233,London,"May 9, 2018","July 21, 2021",,0,0,0,0,0,0,No,No,No,Yes,.,
Member234,Pimlico,"June 17, 2021","June 24, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Doctor,"Food, adventure, socializing with like minded people. Pakistani trying to get by in England."
Member235,Croydon,"July 17, 2019","December 7, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Government Executive,
Member236,London,"November 29, 2020","November 28, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,procurement,football
Member237,Ilford,"October 28, 2018","June 11, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Software developer,
Member238,London,"January 5, 2020","January 5, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,teacher,"running, hiking"
Member239,London,"April 9, 2021","June 4, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Retired,Art and culture
Member240,London,"August 15, 2021","August 15, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Accounting,"Football, gym and gaming"
Member241,London,"August 27, 2019","October 23, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,doctor,
Member242,Kingston Upon Thames,"October 1, 2021","September 30, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Software developer,"Nature, Science, Music, Technology"
Member243,London,"September 2, 2020","September 2, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Architect,"Food, sports"
Member244,Islamabad,"December 22, 2019","October 10, 2021",,1,1,0,0,0,0,No,Yes,No,Yes,I am a Computer Science Bachelors Student here at Pakistan.,"Mostly Working on Computers, Playing E-Games, Networking with people, also taking a part in Islamic Activities."
Member245,London,"September 15, 2019","December 25, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Banking,
Member246,Dagenham,"September 1, 2019","January 22, 2021",,1,0,0,1,0,0,No,Yes,No,Yes,Governance Officer,
Member247,London,"December 27, 2019","July 9, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Marketing,"Art, museums"
Member248,al-Hawamidiyah,"January 12, 2020","January 12, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Logistics manager,Money collection
Member249,Leavesden,"November 29, 2020","November 29, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Barber,Football and socialising.
Member250,London,"June 8, 2021","June 5, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Business consultant,"Food, travel and languages"
Member251,Poplar,"October 22, 2021","October 29, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Software Engineer,"Games, movies, books"
Member252,Sutton,"June 16, 2019","August 5, 2020","October 12, 2019",3,2,0,1,1,0,No,Yes,No,Yes,medicinal chemist,
Member253,London,"December 8, 2020","December 10, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,credit controller,"swimming, reading"
Member254,London,"August 27, 2018","August 30, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,sales leader,
Member255,Surbiton,"November 9, 2019","November 25, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Law,"Travel, cinema, theatre, restaurants"
Member256,Slough,"May 12, 2018","May 12, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Accountant,
Member257,London,"January 5, 2020","November 26, 2021",,3,3,0,0,0,2,No,Yes,No,Yes,Regaultion and Strategy,"Fitness, reading, history, hanging out...."
Member258,London,"March 31, 2019","June 15, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,bank advisor,
Member259,London,"August 19, 2019","August 19, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Information professional,
Member260,London,"April 9, 2021","July 14, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Entrepreneur,Trying new things
Member261,Nagoya,"September 25, 2020","September 25, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Student(I'm learning English),"drawing picture, talking with friends at coffee shop, go to museum, go to see garden"
Member262,London,"August 26, 2021","August 28, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,laser nurse,"food, movies, travel"
Member263,Manchester,"May 5, 2019","June 8, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Dental Technician,
Member264,Bethnal Green,"August 25, 2019","September 28, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Credit Risk,
Member265,Stratford,"August 28, 2021","August 28, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Graphic Desiger,"Painting, film, animation, philosophical discussion."
Member266,Guildford,"January 2, 2019","January 2, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,chef,
Member267,London,"September 21, 2019","September 21, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Teacher,
Member268,London,"November 14, 2020","January 21, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Teacher,discovery and history
Member269,London,"July 12, 2018","June 8, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,teaching,
Member270,Luton,"September 8, 2020","January 27, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Education + Retail,"photography, learning, Islam and psychology"
Member271,London,"September 10, 2019","February 1, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Education,
Member272,London,"December 14, 2018","May 4, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Engineer,
Member273,London,"December 14, 2018","February 11, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Administration,
Member274,London,"January 31, 2021","January 31, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Art Curator,"Art Galleries, Museums"
Member275,London,"June 8, 2019","June 8, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Health care professional,
Member276,London,"May 2, 2019","May 2, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Self employed,
Member277,London,"August 20, 2018","July 19, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Petroleum Engineer,
Member278,London,"August 26, 2019","October 20, 2019",,1,0,0,1,0,0,No,Yes,No,Yes,Customer service,
Member279,London,"November 24, 2019","May 31, 2021",,1,1,0,0,0,0,No,Yes,No,Yes,no,Belly dance singing
Member280,London,"November 12, 2019","November 11, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,I work freelance as a portrait artist,"I dance, climb, cycle and read a lot. I just like things that facilitate learning well and push you."
Member281,London,"August 13, 2021","August 18, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Unemployed at the moment,Spirituality
Member282,London,"October 12, 2020","December 10, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Admin,"Hiking, board games, outdoor pursuits"
Member283,London,"April 26, 2019","August 19, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Data protection,
Member284,London,"September 15, 2019","February 16, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Comi chef,
Member285,Woodford Green,"January 11, 2020","January 11, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Dental nurse,Learning languages Cooking Travelling
Member286,London,"October 12, 2021","October 10, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Engineer,Photography
Member287,London,"April 17, 2019","March 7, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,IT Mobile Network Infrastructure,
Member288,London,"May 2, 2019","April 28, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Music,
Member289,Stratford,"August 24, 2020","September 3, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Office work,walk / board game / yoga / drawing / photo
Member290,London,"September 13, 2019","December 16, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Labour,
Member291,London,"July 16, 2021","July 15, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Economist/Insight & Strategy Consultant,"Music, playing sports, DJing, Stargazing"
Member292,London,"March 5, 2020","February 1, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Software Sales,"Socializing, traveling, and watching movies/series"
Member293,London,"May 24, 2018","July 25, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Student,
Member294,London,"September 5, 2020","October 10, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Data engineer,"Sport, Religion, IT"
Member295,Cairo,"September 15, 2019","June 5, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,student,
Member296,London,"August 25, 2019","October 9, 2019","October 12, 2019",1,1,0,0,1,0,No,No,No,Yes,Healthcare Scientist,
Member297,Greater London,"June 19, 2019","September 4, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Caterer,
Member298,Greater London,"November 5, 2018","January 6, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,student,
Member299,"Silver Spring, MD","July 25, 2021","July 24, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Fitness,"Outdoors, trekking, volunteering"
Member300,London,"March 31, 2019","March 22, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Operations Executive,
Member301,London,"June 19, 2018","June 19, 2018",,0,0,0,0,0,0,No,No,No,Yes,accountant,
Member302,London,"September 15, 2019","February 14, 2020",,1,0,0,1,0,0,No,Yes,No,Yes,Football,
Member303,London,"May 3, 2019","March 8, 2020",,0,0,0,0,0,0,No,No,No,Yes,Finance Professional,
Member304,"New York, NY","July 7, 2019","July 7, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Economist,
Member305,Stratford,"July 24, 2021","July 24, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,legal professional,"sport, gym, phylosophy, cycling, gaming, reading, psychology, paranormal/supernatural, astronomy"
Member306,London,"October 9, 2018","October 9, 2018",,0,0,0,0,0,0,No,No,No,Yes,occupational therapist,
Member307,Stratford,"May 15, 2019","May 15, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Product Manager,
Member308,Slough,"August 23, 2018","August 20, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,teaching assistant,
Member309,"Valley Stream, NY","April 14, 2019","April 14, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Interior designer,
Member310,Alexandria,"August 5, 2018","August 5, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Network engineer,
Member311,Birmingham,"June 12, 2020","June 29, 2020",,0,0,0,0,0,0,No,No,No,Yes,Social Work,"Sewing, learning in general"
Member312,London,"October 14, 2018","June 18, 2020",,0,0,0,0,0,0,No,No,No,Yes,Governance Officer in Asset Finance,
Member313,"Kitchener, ON","July 20, 2019","October 8, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Currency Investor,
Member314,London,"June 8, 2019","June 20, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Construction,
Member315,London,"August 17, 2019","October 26, 2019",,1,0,0,1,0,0,No,No,No,Yes,admin,
Member316,London,"January 13, 2020","January 12, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Engineer,"Socialising, going out, meeting new people, and trying new places"
Member317,London,"May 30, 2019","May 30, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,data scientist,
Member318,London,"December 11, 2020","December 11, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,I am working as e-commerce consultant,"I love football, reading, a nice intellectual chit-chat and a little bit of politics"
Member319,London,"June 19, 2018","June 18, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Iâ€™ve been to Colombia.,
Member320,Bergerac,"April 20, 2019","July 7, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,recruitment consultant,
Member321,London,"April 4, 2020","June 8, 2021",,1,1,0,0,0,0,No,Yes,No,Yes,Engineer,"Cycling, traveling"
Member322,London,"February 1, 2020","February 2, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Business owner,"Coffee shop, meditation, travel"
Member323,London,"September 11, 2018","July 8, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Software Engineering Apprentice,
Member324,London,"August 13, 2019","January 8, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Teaching,
Member325,London,"August 27, 2019","December 7, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,IT,
Member326,London,"September 4, 2021","September 3, 2021",,0,0,0,0,0,0,No,No,No,Yes,stylist,"Walking, running, galleries, museums, films, ceramics, nature!"
Member327,Chennai,"April 1, 2021","March 31, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Sports Analyst,Cinema
Member328,London,"November 5, 2018","July 30, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,FR & Events Manager,
Member329,London,"May 14, 2018","October 2, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Technology,
Member330,Cairo,"September 3, 2019","September 3, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,pharmacist,
Member331,London,"September 15, 2019","April 25, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Electircian,
Member332,Greater London,"March 31, 2019","September 8, 2019",,0,0,0,0,0,0,No,No,No,Yes,doctor,
Member333,London,"July 19, 2019","March 13, 2020",,3,0,0,3,0,0,No,Yes,No,Yes,IT,
Member334,London,"September 3, 2018","September 2, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,media,
Member335,London,"January 26, 2020","February 1, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,IT support analyst,Cinema
Member336,London,"October 28, 2018","October 24, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,estate agent,
Member337,London,"April 24, 2019","October 15, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Teaching assistant,
Member338,London,"September 30, 2018","December 9, 2021","May 19, 2019",1,1,0,0,1,0,No,Yes,No,Yes,Financial Controller,
Member339,London,"February 23, 2019","May 3, 2019",,0,0,0,0,0,0,No,No,No,Yes,Telecom engineer,
Member340,London,"August 20, 2018","September 28, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Recruitment,
Member341,London,"March 31, 2019","February 16, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Admin,
Member342,Beckenham,"August 9, 2019","March 17, 2021",,1,1,0,0,0,1,No,No,No,Yes,lecturer,
Member343,London,"March 31, 2019","March 2, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Accountancy,
Member344,London,"April 24, 2019","May 3, 2019",,1,0,0,1,0,0,No,Yes,No,Yes,programmer,
Member345,London,"October 28, 2018","October 22, 2018",,0,0,0,0,0,0,No,No,No,Yes,Public relations,
Member346,London,"April 5, 2019","September 13, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Charity worker,
Member347,London,"May 22, 2021","May 22, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Web and mobile dev,"Football, coding and reading"
Member348,London,"June 15, 2019","June 15, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Cyber Security Manager,
Member349,London,"November 12, 2019","March 8, 2021",,1,1,0,0,0,1,No,Yes,No,Yes,Engineer,"Sport, language, travel, cinema"
Member350,London,"December 1, 2019","December 1, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,accountant,sport
Member351,"Raleigh, NC","August 12, 2019","September 3, 2019",,1,1,0,0,0,0,No,Yes,No,Yes,Business Operations,
Member352,Greater London,"May 16, 2019","May 16, 2019",,0,0,0,0,0,0,No,No,No,Yes,IT,
Member353,London,"October 31, 2019","November 1, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Nanny,Learning/ swimming
Member354,Istanbul,"October 5, 2019","October 5, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,student,football
Member355,London,"January 10, 2020","October 29, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,IT,"Martial Arts, Barefoot running, Travel, Cakes"
Member356,Hounslow,"October 28, 2021","October 28, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Student,Playing games
Member357,London,"April 22, 2019","April 22, 2019",,0,0,0,0,0,0,No,No,No,Yes,Postgraduate student,
Member358,London,"March 31, 2019","January 21, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,legal consultant,
Member359,London,"August 20, 2018","August 2, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Software engineer,
Member360,London,"June 15, 2019","June 23, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Director of photography,
Member361,Kew,"September 13, 2019","September 13, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Student,
Member362,London,"March 31, 2019","August 30, 2019","August 18, 2019",2,2,0,0,1,0,No,Yes,No,Yes,Recruitment,
Member363,Reading,"September 1, 2021","September 1, 2021",,0,0,0,0,0,0,No,No,No,Yes,Systems Administrator,Spirituality and religion
Member364,Thornton Heath,"May 16, 2019","June 4, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Student,
Member365,London,"September 15, 2019","September 15, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Tv producer,
Member366,London,"March 20, 2021","March 20, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Finance,Site seeing and speaking
Member367,London,"November 21, 2019","November 23, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,human rights advocate,"reading books, photography, desert camping and visiting historical places"
Member368,London,"October 24, 2020","October 24, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Entrepreneur,Islamic history and arts
Member369,Birmingham,"January 15, 2019","May 16, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Dentist,
Member370,London,"August 20, 2020","December 5, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,technology consultant,"hot yoga, reading"
Member371,London,"April 19, 2019","November 9, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,PMO,
Member372,London,"April 29, 2019","August 19, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,social worker,
Member373,Oxford,"August 23, 2018","September 18, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Scientist,
Member374,London,"April 21, 2019","October 12, 2019",,5,3,0,2,0,2,No,Yes,No,Yes,Engineer,
Member375,Crawley,"March 31, 2019","April 6, 2019",,0,0,0,0,0,0,No,No,No,Yes,consultant,
Member376,Abbeville,"April 10, 2019","April 10, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,web developer,
Member377,London,"January 15, 2019","October 11, 2019","April 19, 2019",1,1,0,0,1,0,No,Yes,No,Yes,LAWYER,
Member378,London,"December 14, 2018","October 24, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,nanny,
Member379,Greater London,"May 3, 2021","June 1, 2021",,0,0,0,0,0,0,No,No,No,Yes,BA,Cycling
Member380,London,"May 15, 2019","February 16, 2020",,0,0,0,0,0,0,No,No,No,Yes,Project coordinator,
Member381,London,"March 31, 2019","August 31, 2019","August 24, 2019",1,1,0,0,1,0,No,No,No,Yes,admin,
Member382,London,"March 31, 2019","February 14, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,civil servant,
Member383,London,"December 14, 2018","September 27, 2021",,1,0,0,1,0,0,No,Yes,No,Yes,Mergers and acquisitions executive,
Member384,Hatfield,"December 30, 2019","January 25, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Teacher,"Arts, food, coffee, drawing and exploring."
Member385,London,"August 11, 2019","November 26, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Finance Manager,
Member386,Uxbridge,"July 22, 2021","September 1, 2021",,0,0,0,0,0,0,No,No,No,Yes,Healthcare,"Travel, History"
Member387,London,"September 27, 2018","April 7, 2019",,0,0,0,0,0,0,No,No,No,Yes,AM,
Member388,London,"August 23, 2019","August 26, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Artist,
Member389,London,"October 22, 2020","November 30, 2020",,1,1,0,0,0,0,No,Yes,No,Yes,international development,"hiking, learning, eating, travelling, reading, dancing"
Member390,Northampton,"September 11, 2018","December 3, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,supply chain,
Member391,Woodford Green,"May 10, 2018","November 24, 2020","September 4, 2020",1,1,0,0,1,0,No,Yes,No,Yes,Database and marketing manager,
Member392,London,"August 6, 2019","August 6, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Teacher,
Member393,Burton-on-trent,"April 19, 2019","December 19, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Student,
Member394,London,"November 10, 2019","November 14, 2019",,0,0,0,0,0,0,No,No,No,Yes,Senior Credit Controller,"Gym, baking, spending time with family"
Member395,London,"August 19, 2019","August 19, 2019",,0,0,0,0,0,0,No,No,No,Yes,Healthcare professional,
Member396,London,"April 28, 2019","January 1, 2020","August 18, 2019",2,1,0,1,1,0,No,Yes,No,Yes,teaching assistant,
Member397,London,"May 8, 2019","March 31, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,financial engineer,
Member398,"Madrid, IA","June 30, 2021","June 30, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,barista,learning
Member399,London,"March 11, 2020","August 5, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Postgraduate student,"Learning new cultures, beauty , traveling , crafting"
Member400,London,"September 15, 2019","July 16, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Business,
Member401,London,"December 19, 2019","January 4, 2020",,0,0,0,0,0,0,No,No,No,Yes,Chartered Accountant,"Film/TV, Sports and Music"
Member402,Alexandria,"July 12, 2021","August 25, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Programmer,Communicate with more people around the world
Member403,Manchester,"September 8, 2019","September 8, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Project Management Consultant,
Member404,London,"May 1, 2019","September 4, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Finance,
Member405,London,"June 15, 2019","June 14, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Software,
Member406,Hounslow,"October 12, 2021","October 4, 2021",,0,0,0,0,0,0,No,No,No,Yes,owner of online retail store,"Cricket, Gaming, travelling, TV/Movies, Anime"
Member407,Stratford,"May 22, 2021","May 22, 2021",,0,0,0,0,0,0,No,No,No,Yes,Business Manager,"Sports, Football, Videogames, Board games and hiking"
Member408,London,"November 29, 2020","November 29, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Tech Consultant,"Foodie, Music/Singing, baking, cooking"
Member409,London,"May 3, 2021","September 7, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,analyst,"walks, arts and culture socials"
Member410,Barking,"December 14, 2018","October 24, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,student,
Member411,Dubai,"October 20, 2018","November 4, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Consultant,
Member412,London,"June 5, 2019","June 5, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Doctor,
Member413,"Jamaica Plain, MA","January 28, 2020","January 27, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Data/finance,Languages/Technology/CS/Economics/Travel/Reading/Martial Arts/Strength Training
Member414,London,"April 22, 2019","February 8, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Property,
Member415,London,"July 4, 2020","July 1, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Systems Engineer at Cisco,"Cooking, Travelling, Fashion, Tech"
Member416,London,"November 21, 2019","November 25, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,marketing,travelling
Member417,London,"September 30, 2018","October 6, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,I.T,
Member418,London,"July 25, 2018","April 11, 2019",,1,0,0,1,0,0,No,Yes,No,Yes,Pharmacist,
Member419,London,"February 7, 2020","February 8, 2020",,1,0,0,1,0,0,No,Yes,No,Yes,Project manager,"Cycling, perfumery"
Member420,London,"January 25, 2020","October 3, 2020","January 26, 2020",1,1,0,0,1,0,No,Yes,No,Yes,Physicist,"Football, reading, social"
Member421,London,"September 4, 2020","August 28, 2021",,0,0,0,0,0,0,No,No,No,Yes,Finance,Walking reading rock cooking
Member422,Cambridge,"June 29, 2019","November 5, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Physician. PhD student,
Member423,London,"March 4, 2020","January 20, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Accountant,Food
Member424,Glasgow,"October 14, 2018","October 13, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Banker,
Member425,London,"April 28, 2019","June 1, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Finance,
Member426,London,"September 11, 2018","December 10, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,housing officer,
Member427,London,"March 19, 2021","April 9, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,Data scientist,"Gaming, startups, philosphy, cycling"
Member428,Ilford,"September 15, 2019","April 23, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Business Person,
Member429,Purley,"June 1, 2018","July 26, 2018",,0,0,0,0,0,0,No,Yes,No,Yes,Finance,
Member430,London,"December 3, 2019","February 1, 2020",,0,0,0,0,0,0,No,No,No,Yes,Education,Gym
Member431,London,"May 3, 2019","May 3, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Teacher,
Member432,London,"February 23, 2019","January 27, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Management consultant,
Member433,London,"September 23, 2019","September 22, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Property,
Member434,London,"November 12, 2019","November 12, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Translator,Reading a good articles
Member435,London,"November 12, 2019","December 28, 2019",,0,0,0,0,0,0,No,No,No,Yes,Data analyst,Badminton and nature walks
Member436,London,"March 31, 2019","March 11, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Social investment,
Member437,London,"August 3, 2020","October 10, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,finance,running
Member438,"New York, NY","April 6, 2019","August 1, 2021",,2,2,0,0,0,0,No,Yes,No,Yes,Lawyer,
Member439,Covent Garden,"November 30, 2019","November 30, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Manager,Walking/hiking/eating/netflix
Member440,London,"March 31, 2019","April 6, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Civil Service,
Member441,London,"January 14, 2020","August 1, 2021",,0,0,0,0,0,0,No,Yes,No,Yes,I am a student,"I like learning languages (I've taken Turkish and Arabic language classes recently), I also like to draw and I sometimes work with wood"
Member442,London,"January 1, 2020","May 19, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Programme officer,"Varied, including Arabic language and Middle East history"
Member443,London,"February 23, 2019","August 10, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Investigator for the NCA,
Member444,London,"May 8, 2019","May 8, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,student,
Member445,Greater London,"August 31, 2020","September 1, 2021","August 29, 2021",3,3,0,0,3,0,No,Yes,No,Yes,Software engineer,"Travel, board games, hiking, personal finance"
Member446,London,"November 16, 2019","November 29, 2021",,1,0,0,1,0,0,No,Yes,No,Yes,Teacher,"Hiking, Calligraphy, the theatre"
Member447,London,"June 2, 2018","October 28, 2019",,0,0,0,0,0,0,No,Yes,No,Yes,Education,
Member448,London,"September 15, 2019","December 5, 2021","October 24, 2020",3,2,0,1,2,0,No,Yes,No,Yes,HR,
Member449,London,"June 15, 2019","August 21, 2019","July 6, 2019",2,2,0,0,1,0,No,Yes,No,Yes,Law,
Member450,London Colney,"November 14, 2020","November 14, 2020",,0,0,0,0,0,0,No,Yes,No,Yes,Student/ customer assistant,Religion and philosophy
